"","dt","status","side","order_type","rule","security","qty","price"
"1","2003-02-03 09:48:00","closed","short","stoplimit","EnterSHORT","PKG.ASGN","-100","4.07670590179785"
"2","2003-02-10 09:40:00","closed","short","stoplimit","StopLossSHORT","PKG.ASGN","all","5.49451975452338"
"3","2003-02-10 10:00:00","closed","short","stoplimit","EnterSHORT","PKG.ASGN","-100","5.59305134827186"
"4","2003-02-10 10:00:00","canceled","short","stoplimit","EnterSHORT","PKG.ASGN","-100","5.59510125138832"
"5","2003-02-10 10:00:00","canceled","short","stoplimit","EnterSHORT","PKG.ASGN","-100","5.67125096073773"
"6","2003-02-14 09:36:00","closed","short","stoplimit","StopLossSHORT","PKG.ASGN","all","7.8169718875806"
"7","2003-02-18 13:56:00","canceled","short","stoplimit","EnterSHORT","PKG.ASGN","-100","7.91084010978217"
"8","2003-02-18 13:56:00","closed","short","stoplimit","EnterSHORT","PKG.ASGN","-100","9.26563468430438"
"9",NA,"open","short","stoplimit","StopLossSHORT","PKG.ASGN","all","12.8634584223892"
"10","2003-02-06 09:38:00","closed","short","stoplimit","EnterSHORT","TIF.A","-100","4.53827299813316"
"11","2003-02-06 09:44:00","closed","short","stoplimit","StopLossSHORT","TIF.A","all","2.09279753295331"
"12","2003-02-06 09:45:00","closed","short","stoplimit","EnterSHORT","TIF.A","-100","5.02955367317983"
"13","2003-02-06 13:36:00","closed","short","stoplimit","StopLossSHORT","TIF.A","all","6.46253833239576"
"14","2003-02-06 13:37:00","closed","short","stoplimit","EnterSHORT","TIF.A","-100","6.59418667118499"
"15",NA,"open","short","stoplimit","StopLossSHORT","TIF.A","all","9.22341256666085"
"16","2003-02-04 12:47:00","closed","long","stoplimit","EnterLONG","IT.USM","100","-0.391635294243042"
"17","2003-02-05 10:38:00","closed","long","stoplimit","StopLossLONG","IT.USM","all","-0.548289411940259"
"18","2003-02-05 09:36:00","rejected","short","market","Exit2SHORT","IT.USM","all","-0.268331296529146"
"19","2003-02-05 09:42:00","rejected","short","market","Exit2SHORT","IT.USM","all","-0.382855796814908"
"20","2003-02-05 09:47:00","rejected","short","market","Exit2SHORT","IT.USM","all","-0.412855796814908"
"21","2003-02-05 10:00:00","rejected","short","market","Exit2SHORT","IT.USM","all","-0.405651170886181"
"22","2003-02-05 10:49:00","closed","long","stoplimit","EnterLONG","IT.USM","100","-0.562182924172451"
"23","2003-02-05 11:08:00","closed","long","stoplimit","StopLossLONG","IT.USM","all","-0.787056093841431"
"24","2003-02-06 10:04:00","closed","long","stoplimit","EnterLONG","IT.USM","100","-0.791491433602625"
"25","2003-02-06 10:05:00","closed","long","stoplimit","StopLossLONG","IT.USM","all","-1.10808800704367"
"26","2003-02-07 09:33:00","closed","long","stoplimit","EnterLONG","IT.USM","100","-1.18786030853118"
"27","2003-02-10 14:25:00","closed","long","stoplimit","StopLossLONG","IT.USM","all","-1.66300443194365"
"28","2003-02-10 10:49:00","rejected","short","market","Exit2SHORT","IT.USM","all","-1.51031993160229"
"29","2003-02-10 11:10:00","rejected","short","market","Exit2SHORT","IT.USM","all","-1.5430576814594"
"30","2003-02-10 12:19:00","rejected","short","market","Exit2SHORT","IT.USM","all","-1.54026230738813"
