"","dt","symbol1","symbol2"
"1",2011-01-01,"NVG","NEA"
"2",2011-01-01,"USM","MAA"
"3",2011-01-01,"GEL","ERJ"
"4",2011-01-01,"GEL","FDS"
"5",2011-01-01,"FDS","IEX"
"6",2011-01-01,"MTD","MSM"
"7",2011-01-01,"ROP","MTD"
"8",2011-01-01,"USM","FDS"
"9",2011-01-01,"ING","TEF"
"10",2011-01-01,"GEL","SQM"
"11",2011-01-01,"MTD","WAT"
"12",2011-01-01,"KOF","IT"
"13",2011-01-01,"ACN","ORCL"
"14",2011-01-01,"MAA","KOF"
"15",2011-01-01,"ROP","IEX"
"16",2011-01-01,"MAC","SUI"
"17",2011-01-01,"CPT","UPS"
"18",2011-01-01,"MTD","NFX"
"19",2011-01-01,"FDS","ZNH"
"20",2011-01-01,"IEX","ORCL"
"21",2011-01-01,"MSM","DKS"
"22",2011-01-01,"ROP","FDS"
"23",2011-01-01,"WAT","MSM"
"24",2011-01-01,"MTD","DKS"
"25",2011-01-01,"SBS","MTD"
"26",2011-01-01,"MAA","ZNH"
"27",2011-01-01,"MAA","IT"
"28",2011-01-01,"NFX","RL"
"29",2011-01-01,"MTD","FDS"
"30",2011-01-01,"CPT","MTD"
"31",2011-01-01,"NFX","DKS"
"32",2011-01-01,"SBS","ROP"
"33",2011-01-01,"CCL","A"
"34",2011-01-01,"CPT","MAC"
"35",2011-01-01,"SBS","FDS"
"36",2011-01-01,"BLK","CNX"
"37",2011-01-01,"CPT","WAT"
"38",2011-01-01,"UPS","FDS"
"39",2011-01-01,"ORCL","JNPR"
"40",2011-01-01,"MAA","MAC"
"41",2011-01-01,"ROP","MSM"
"42",2011-01-01,"A","MTN"
"43",2011-01-01,"RL","TIF"
"44",2011-01-01,"MAA","CPT"
"45",2011-01-01,"MAA","MTD"
"46",2011-01-01,"ERJ","FDS"
"47",2011-01-01,"IEX","MSM"
"48",2011-01-01,"CLB","DECK"
"49",2011-01-01,"CPT","SUI"
"50",2011-01-01,"MAA","FDS"
"51",2011-01-01,"IT","FDS"
"52",2011-01-01,"TV","RL"
"53",2011-01-01,"MSM","NFX"
"54",2011-01-01,"IEX","JNPR"
